Short Name,Full Name,Category,Sponsoring Space Agency,Module
MOBIAS,Multiple Orbital Bioreactor with Instrumentation and Automated Sampling,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),Columbus
Mobile SpaceLab,Mobile SpaceLab,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),US Lab
Mochii,Mochii,Technology Development and Demonstration,National Aeronautics and Space Administration (NASA),US Lab
MQ-Warmchain,MQ-Warmchain,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
MSG,Microgravity Science Glovebox,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
MSL,Materials Science Laboratory,Physical Science,European Space Agency (ESA),US Lab
MSPR,Multi Purpose Small Payload Rack,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
MSPR-2,Multi Purpose Small Payload Rack-2,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
MSRR-1,Materials Science Research Rack-1,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
MUSES,Multiple User System for Earth Sensing Facility,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
MVIS,Microgravity Vibration Isolation Subsystem,Multipurpose,Canadian Space Agency (CSA),Columbus
MVP,Multi-use Variable-g Platform,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
MWA,Maintenance Work Area,Multipurpose,National Aeronautics and Space Administration (NASA),Node 2
Nanoracks Airlock,Nanoracks Bishop Airlock,Multipurpose,National Aeronautics and Space Administration (NASA),Node 3
NanoRacks Astrium Centrifuge,NanoRacks Astrium Centrifuge,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),JEM
NanoRacks CubeSat Deployer,NanoRacks CubeSat Deployer,Multipurpose,National Aeronautics and Space Administration (NASA),JEM
NanoRacks External Platform,NanoRacks External Platform,Multipurpose,National Aeronautics and Space Administration (NASA),JEM
NanoRacks Microsat Deployer,NanoRacks Kaber Microsat Deployer,Multipurpose,National Aeronautics and Space Administration (NASA),JEM
NanoRacks Microscopes,NanoRacks Microscopes,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
Nanoracks Nanode,Nanoracks Nanode,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
NanoRacks Plate Reader,NanoRacks Plate Reader,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
NanoRacks Platforms,NanoRacks Platforms,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
NanoRacks-extCygnus-NRCSD,NanoRacks External Cygnus CubeSat Deployer,Multipurpose,National Aeronautics and Space Administration (NASA),JEM
NanoRacks-GoPro Fusion,NanoRacks-GoPro Fusion,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
PCBA,Portable Clinical Blood Analyzer - i-STAT,Human Research,National Aeronautics and Space Administration (NASA),Dependent
PCG-STES,Protein Crystal Growth - Single Locker Thermal Enclosure System,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
PCRF,Protein Crystallization Research,Biology and Biotechnology,Japan Aerospace Exploration Agency (JAXA),JEM
PERSEO,PErsonal Radiation Shielding for intErplanetary missiOns Facility,Human Research,National Aeronautics and Space Administration (NASA),US Lab
PFMI,PFMI Facility,Physical Science,National Aeronautics and Space Administration (NASA),US Lab
PFS,Pulmonary Function System,Human Research,National Aeronautics and Space Administration (NASA),US Lab
PGB,Portable Glovebox,Multipurpose,European Space Agency (ESA),Dependent
Plant Habitat,Advanced Plant Habitat,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),JEM
Polar,Polar,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
Portable Pulmonary Function System,Portable Pulmonary Function System,Human Research,European Space Agency (ESA),Dependent
Programmable Isolation Mount,Demonstration of a Programmable Isolation Mount to Precisely Control and Manipulate the Acceleration Environment for Microgravity Research,Multipurpose,National Aeronautics and Space Administration (NASA),
RAM,Radiation Area Monitor,Human Research,National Aeronautics and Space Administration (NASA),
RC,Refrigerated Centrifuge,Human Research,National Aeronautics and Space Administration (NASA),US Lab
Rodent Research,Rodent Research Facility,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),
