,itemsets,Distance
3558,"frozenset({'MWA', 'LMM'})",1
2649,"frozenset({'Actiwatch Spectrum', 'Ultrasound'})",1
2648,"frozenset({'Actiwatch Spectrum', 'Ultrasound 2'})",1
4340,"frozenset({'iRED', 'TVIS'})",1
3298,"frozenset({'Actiwatch', 'Ultrasound 2'})",1
4713,"frozenset({'EDR-2', 'EDR'})",0
4374,"frozenset({'Saibo', 'Ryutai'})",0
4350,"frozenset({'Ultrasound', 'HRF-2'})",0
3099,"frozenset({'CGBA', 'Holter'})",0
4589,"frozenset({'MSPR', 'Confocal Microscope'})",0
4766,"frozenset({'MSPR', 'MSPR-2'})",0
4100,"frozenset({'MSRR-1', 'CEVIS'})",0
4377,"frozenset({'MSPR', 'Ryutai'})",0
3001,"frozenset({'SAMS-II', 'CIR'})",0
3613,"frozenset({'IPU', 'MSPR'})",0
3653,"frozenset({'FIR', 'MSG'})",0
4349,"frozenset({'Ultrasound 2', 'HRF-2'})",0
2466,"frozenset({'ARED', 'TVIS'})",0
4724,"frozenset({'IPU2', 'CBEF-L'})",0
3169,"frozenset({'IPU', 'CB'})",0
2991,"frozenset({'EMCS', 'Veggie'})",0
3573,"frozenset({'PCRF', 'MELFI'})",0
3303,"frozenset({'SLAMMD', 'Ultrasound 2'})",0
3304,"frozenset({'Ultrasound 2', 'MMD'})",0
3305,"frozenset({'WORF', 'Ultrasound 2'})",0
3306,"frozenset({'CGBA', 'Ultrasound 2'})",0
4760,"frozenset({'Hermes', 'MSL'})",0
4704,"frozenset({'ELF', 'HSRC'})",0
4644,"frozenset({'SCOF', 'FROST'})",0
3083,"frozenset({'FPEF', 'MSPR'})",0
3004,"frozenset({'SAMS-II', 'MSL'})",0
4643,"frozenset({'FROST', 'CBEF'})",0
3096,"frozenset({'Ultrasound', 'CGBA'})",0
3155,"frozenset({'HRF-1', 'Holter'})",0
4639,"frozenset({'FROST', 'MSPR'})",0
4630,"frozenset({'BRIC', 'CGBA'})",0
3271,"frozenset({'Ultrasound', 'RC'})",0
4613,"frozenset({'TangoLab-1', 'SABL'})",0
4603,"frozenset({'J-SSOD', 'NanoRacks CubeSat Deployer'})",0
4678,"frozenset({'PFMI', 'MSG'})",0
4663,"frozenset({'CB', 'CBEF-L'})",0
4660,"frozenset({'EXHAM', 'NanoRacks CubeSat Deployer'})",0
4657,"frozenset({'NanoRacks External Platform', 'Cyclops'})",0
4703,"frozenset({'FROST', 'HSRC'})",0
4367,"frozenset({'GASMAP', 'HRF-2'})",0
4591,"frozenset({'Confocal Microscope', 'CBEF-L'})",0
4627,"frozenset({'BRIC', 'HRF-2'})",0
4767,"frozenset({'MSPR-2', 'ELF'})",0
4642,"frozenset({'FROST', 'MELFI'})",0
177,"frozenset({'MSG', 'PFS'})",0
4582,"frozenset({'Cold Atom Lab', 'CIR'})",0
4580,"frozenset({'EPM', 'EML'})",0
180,"frozenset({'HRF-1', 'PFS'})",0
3644,"frozenset({'JEM-EF', 'J-SSOD'})",0
4568,"frozenset({'MSL', 'KERMIT'})",0
4011,"frozenset({'SLAMMD', 'CEVIS'})",0
4595,"frozenset({'NanoRacks External Platform', 'J-SSOD'})",0
4488,"frozenset({'IPU', 'Aquatic Habitat'})",0
3971,"frozenset({'MSG', 'MMD'})",0
4690,"frozenset({'Bone Densitometer', 'Ultrasound'})",0
4689,"frozenset({'Bone Densitometer', 'Ultrasound 2'})",0
851,"frozenset({'WORF', 'PFS'})",0
4723,"frozenset({'IPU2', 'CB'})",0
845,"frozenset({'WORF', 'CIR'})",0
4722,"frozenset({'IPU2', 'Saibo'})",0
4709,"frozenset({'TELLAS', 'MSPR'})",0
4659,"frozenset({'J-SSOD', 'EXHAM'})",0
4509,"frozenset({'FSL', 'ETC'})",0
4721,"frozenset({'IPU2', 'CBEF'})",0
4605,"frozenset({'ADSEP', 'MELFI'})",0
4739,"frozenset({'GHF', 'KOBAIRO Rack'})",0
4555,"frozenset({'EPM', 'ICE Cubes'})",0
4720,"frozenset({'IPU2', 'IPU'})",0
4574,"frozenset({'LSG', 'SABL'})",0
4662,"frozenset({'Saibo', 'CBEF-L'})",0
3035,"frozenset({'EPM', 'MARES'})",0
4610,"frozenset({'TangoLab-1', 'TangoLab-2'})",0
3269,"frozenset({'Holter', 'RC'})",0
3648,"frozenset({'FIR', 'CIR'})",0
844,"frozenset({'WORF', 'CEVIS'})",0
3936,"frozenset({'EPM', 'EDR'})",0
4004,"frozenset({'HRF-1', 'SLAMMD'})",0
174,"frozenset({'PFS', 'RC'})",0
3961,"frozenset({'HRF-1', 'MMD'})",0
3145,"frozenset({'MSG', 'CIR'})",0
4385,"frozenset({'ABRS', 'MELFI'})",0
4345,"frozenset({'Holter', 'HRF-2'})",0
3093,"frozenset({'CGBA', 'CEVIS'})",0
3953,"frozenset({'COLBERT', 'UMS'})",0
3154,"frozenset({'Ultrasound', 'HRF-1'})",0
4005,"frozenset({'SLAMMD', 'CIR'})",0
4009,"frozenset({'WORF', 'SLAMMD'})",0
3955,"frozenset({'CBEF', 'MSPR'})",0
4485,"frozenset({'MSPR', 'Aquatic Habitat'})",0
4368,"frozenset({'MVIS', 'FSL'})",0
4119,"frozenset({'MSPR', 'CCE'})",0
3011,"frozenset({'GHF', 'MELFI'})",0
3571,"frozenset({'IPU', 'PCRF'})",0
4740,"frozenset({'ISERV', 'WORF'})",0
3556,"frozenset({'CIR', 'LMM'})",0
3164,"frozenset({'CB', 'MELFI'})",0
3643,"frozenset({'NanoRacks External Platform', 'JEM-EF'})",0
4101,"frozenset({'MSRR-1', 'FIR'})",0
3300,"frozenset({'HRF-1', 'Ultrasound 2'})",0
3569,"frozenset({'SCOF', 'PCRF'})",0
3570,"frozenset({'FPEF', 'PCRF'})",0
4104,"frozenset({'MSRR-1', 'PFS'})",0
4572,"frozenset({'LSG', 'MSG'})",0
3956,"frozenset({'MSPR', 'MELFI'})",0
4006,"frozenset({'SLAMMD', 'Holter'})",0
3962,"frozenset({'Holter', 'MMD'})",0
179,"frozenset({'Ultrasound', 'PFS'})",0
4617,"frozenset({'CellCult', 'ADSEP'})",0
4679,"frozenset({'JAXA Mouse Habitat Unit', 'CBEF-L'})",0
4680,"frozenset({'JAXA Mouse Habitat Unit', 'CBEF'})",0
