Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
EXPRESS Rack/WORF,Multipurpose/Earth and Space Science,General science/Earth observation,0.0017513134851138354,0.002803738317757009,0.0027958993476234857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/MELFI,Physical Science/Multipurpose,Furnace/Refrigeration,0.0008756567425569177,0.0009345794392523365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/MELFI,Biology and Biotechnology/Multipurpose,Plant/Refrigeration,0.0008756567425569177,0.002803738317757009,0.0,0.0,0.0,0.0,0.0,0.0,0.0035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/MMD,Biology and Biotechnology/Multipurpose,Plant/Crew health,0.0008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/SLAMMD,Biology and Biotechnology/Human Research,Plant/General science,0.0008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/CGBA,Biology and Biotechnology/Biology and Biotechnology,Plant/Biology,0.0008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/MSG,Biology and Biotechnology/Multipurpose,Plant/Glovebox,0.0008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPU/MWA,Multipurpose/Multipurpose,Image processing/Maintenance,0.0008756567425569177,0.002803738317757009,0.0027958993476234857,0.000778816199376947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MAMS,Multipurpose/Multipurpose,General science/Physics,0.0008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426
PCRF/Ryutai,Biology and Biotechnology/Multipurpose,Biology/General science,0.0008756567425569177,0.0,0.0009319664492078285,0.000778816199376947,0.0,0.004640371229698376,0.0022727272727272726,0.0018726591760299626,0.0,0.0017064846416382253,0.0,0.0,0.003110419906687403,0.0030441400304414,0.001564945226917058,0.0030959752321981426
