Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CGBA/MSG,Biology and Biotechnology/Multipurpose,Biology/Glovebox,10,6,16,0,0,0,6,2,0,0,0,0,0,0,0,0
MDS/PGB,Biology and Biotechnology/Multipurpose,Biology/Glovebox,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/Saibo,Multipurpose/Multipurpose,Glovebox/Biology,10,2,2,0,0,3,2,0,2,0,12,8,6,14,4,0
FPEF/MWA,Physical Science/Multipurpose,Fluids/Maintenance,10,14,10,5,4,0,0,0,0,0,0,0,0,0,0,0
DECLIC/EXPRESS Rack,Physical Science/Multipurpose,Fluids/General science,10,14,8,14,0,0,0,0,0,0,0,0,2,0,0,0
MSL/MSRR-1,Physical Science/Physical Science,Furnace/Materials,8,14,8,0,0,0,0,0,2,0,0,0,6,0,0,0
Holter/RC,Human Research/Human Research,Crew health/Centrifuge,8,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Holter/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,8,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
CB/MELFI,Multipurpose/Multipurpose,Glovebox/Refrigeration,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CB/CBEF,Multipurpose/Biology and Biotechnology,Glovebox/Biology,8,4,0,0,0,12,0,0,0,0,12,8,6,14,4,0
PCBA/RC,Human Research/Human Research,Crew health/Centrifuge,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/PFS,Multipurpose/Human Research,Refrigeration/Crew health,8,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
EPM/RC,Human Research/Human Research,Crew health/Centrifuge,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPU/SCOF,Multipurpose/Biology and Biotechnology,Image processing/Microscope,6,8,0,0,0,0,2,0,0,0,2,0,4,4,2,2
MSG/SAMS-II,Multipurpose/Multipurpose,Glovebox/Physics,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR/LMM,Physical Science/Multipurpose,Fluids/Microscope,6,20,64,8,6,15,6,4,44,20,28,20,24,0,0,0
FSL/MVIS,Physical Science/Multipurpose,Fluids/Vibration isolation,6,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0
FPEF/SCOF,Physical Science/Biology and Biotechnology,Fluids/Microscope,6,10,0,0,0,0,4,0,0,0,2,0,6,4,2,2
Double Coldbag/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,6,10,0,4,0,0,0,2,4,0,0,2,0,0,2,0
MDS/Saibo,Biology and Biotechnology/Multipurpose,Biology/Biology,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEA/ELC,Human Research/Earth and Space Science,Crew health/External payloads,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/IPU,Biology and Biotechnology/Multipurpose,Biology/Image processing,4,2,0,0,0,0,6,8,0,0,4,0,2,2,2,0
EXPRESS Rack/Portable Pulmonary Function System,Multipurpose/Human Research,General science/Crew health,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/ELC,Physical Science/Earth and Space Science,Furnace/External payloads,4,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0
ABRS/MWA,Biology and Biotechnology/Multipurpose,Plant/Maintenance,4,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0
EPM/HRF-2,Human Research/Multipurpose,Crew health/Crew health,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
DECLIC/MDS,Physical Science/Biology and Biotechnology,Fluids/Biology,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Coldbag/GLACIER,Multipurpose/Multipurpose,Refrigeration/Refrigeration,4,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
ABRS/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Plant/General science,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
FPEF/Ryutai,Physical Science/Multipurpose,Fluids/General science,4,0,5,0,6,0,6,6,0,0,2,2,6,4,2,2
EPM/ETC,Human Research/Multipurpose,Crew health/Stowage,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RC/SLAMMD,Human Research/Human Research,Centrifuge/General science,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR/MELFI,Physical Science/Multipurpose,Fluids/Refrigeration,4,4,0,0,0,0,0,0,10,2,4,0,0,0,0,0
EXPRESS Rack/PFS,Multipurpose/Human Research,General science/Crew health,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MMD/RC,Multipurpose/Human Research,Crew health/Centrifuge,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/SAMS-II,Physical Science/Multipurpose,Furnace/Physics,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/WORF,Multipurpose/Earth and Space Science,General science/Earth observation,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/MELFI,Physical Science/Multipurpose,Furnace/Refrigeration,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/MELFI,Biology and Biotechnology/Multipurpose,Plant/Refrigeration,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ABRS/MMD,Biology and Biotechnology/Multipurpose,Plant/Crew health,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
