,itemsets,Distance
1686,"frozenset({'CGBA', 'EPM'})",2
179,"frozenset({'PFS', 'COLBERT'})",2
2862,"frozenset({'RC', 'NanoRacks CubeSat Deployer'})",2
2866,"frozenset({'BFF', 'ADSEP'})",2
163,"frozenset({'TVIS', 'CEVIS'})",2
2857,"frozenset({'J-SSOD', 'MUSES'})",2
1683,"frozenset({'MELFI', 'CGBA'})",2
1332,"frozenset({'CEVIS', 'COLBERT'})",2
1832,"frozenset({'RC', 'MELFI'})",2
1574,"frozenset({'TVIS', 'Ultrasound'})",2
1576,"frozenset({'Ultrasound', 'COLBERT'})",2
2835,"frozenset({'EML', 'ELF'})",2
1554,"frozenset({'EMCS', 'SAMS-II'})",2
1453,"frozenset({'DECLIC', 'MSL'})",2
2820,"frozenset({'MSPR', 'SABL'})",2
1455,"frozenset({'DECLIC', 'MSG'})",2
1575,"frozenset({'Ultrasound', 'ARED'})",2
1934,"frozenset({'ETC', 'MSL'})",2
1659,"frozenset({'Holter', 'MELFI'})",2
1923,"frozenset({'LMM', 'MELFI'})",2
168,"frozenset({'PFS', 'MELFI'})",2
563,"frozenset({'Actiwatch', 'WORF'})",1
1497,"frozenset({'Holter', 'Actiwatch Spectrum'})",1
2615,"frozenset({'MWA', 'ABRS'})",1
1493,"frozenset({'Actiwatch Spectrum', 'EPM'})",1
1496,"frozenset({'Actiwatch Spectrum', 'HRF-1'})",1
2790,"frozenset({'BioLab', 'MWA'})",1
1639,"frozenset({'MSG', 'MWA'})",1
1638,"frozenset({'MWA', 'Solar'})",1
1637,"frozenset({'MWA', 'CGBA'})",1
1416,"frozenset({'Actiwatch', 'MSG'})",1
641,"frozenset({'Actiwatch', 'MELFI'})",1
2579,"frozenset({'Actiwatch', 'HRF-2'})",1
1739,"frozenset({'Actiwatch', 'HRF-1'})",1
1974,"frozenset({'MWA', 'IPU'})",1
2411,"frozenset({'Plant Habitat', 'MWA'})",1
1635,"frozenset({'RC', 'MWA'})",1
1640,"frozenset({'MWA', 'Veggie'})",1
171,"frozenset({'PFS', 'MWA'})",1
1644,"frozenset({'MWA', 'FPEF'})",1
1494,"frozenset({'Actiwatch Spectrum', 'Ultrasound 2'})",1
1630,"frozenset({'CIR', 'MWA'})",1
2577,"frozenset({'CEVIS', 'iRED'})",1
178,"frozenset({'Actiwatch', 'PFS'})",1
639,"frozenset({'Actiwatch', 'CEVIS'})",1
1634,"frozenset({'MELFI', 'MWA'})",1
2575,"frozenset({'iRED', 'ARED'})",1
2735,"frozenset({'Aquatic Habitat', 'MWA'})",1
1500,"frozenset({'CEVIS', 'Actiwatch Spectrum'})",1
1729,"frozenset({'Actiwatch', 'CIR'})",1
1495,"frozenset({'Actiwatch Spectrum', 'Ultrasound'})",1
2375,"frozenset({'MSPR', 'MWA'})",1
2606,"frozenset({'MWA', 'Ryutai'})",1
1544,"frozenset({'EMCS', 'MWA'})",1
2757,"frozenset({'MWA', 'LSG'})",1
1631,"frozenset({'CEVIS', 'MWA'})",1
1464,"frozenset({'Actiwatch', 'EPM'})",1
1921,"frozenset({'LMM', 'MWA'})",1
1661,"frozenset({'Actiwatch', 'Holter'})",1
2576,"frozenset({'TVIS', 'iRED'})",1
2028,"frozenset({'MWA', 'FIR'})",1
2583,"frozenset({'HRF-2', 'MWA'})",1
1498,"frozenset({'Actiwatch Spectrum', 'MELFI'})",1
1632,"frozenset({'CB', 'MWA'})",1
2971,"frozenset({'TELLAS', 'MSPR'})",0
1649,"frozenset({'MSPR', 'FPEF'})",0
2027,"frozenset({'RC', 'FIR'})",0
1845,"frozenset({'Holter', 'Ultrasound 2'})",0
2385,"frozenset({'CEVIS', 'SLAMMD'})",0
2865,"frozenset({'MELFI', 'ADSEP'})",0
1933,"frozenset({'ETC', 'FSL'})",0
3039,"frozenset({'MSPR', 'MSPR-2'})",0
1560,"frozenset({'SAMS-II', 'MSL'})",0
2014,"frozenset({'JEM-EF', 'J-SSOD'})",0
562,"frozenset({'PFS', 'WORF'})",0
1547,"frozenset({'EMCS', 'Veggie'})",0
2812,"frozenset({'ICE Cubes', 'EPM'})",0
557,"frozenset({'CIR', 'WORF'})",0
2847,"frozenset({'Confocal Microscope', 'CBEF-L'})",0
1578,"frozenset({'Ultrasound', 'RC'})",0
2977,"frozenset({'MSG', 'MMD'})",0
2436,"frozenset({'PFS', 'MSRR-1'})",0
177,"frozenset({'PFS', 'HRF-1'})",0
2736,"frozenset({'Aquatic Habitat', 'IPU'})",0
2753,"frozenset({'BRIC', 'CGBA'})",0
2896,"frozenset({'FROST', 'SCOF'})",0
2587,"frozenset({'HRF-2', 'RC'})",0
2596,"frozenset({'HRF-2', 'GASMAP'})",0
2895,"frozenset({'FROST', 'CBEF'})",0
2891,"frozenset({'FROST', 'MSPR'})",0
2925,"frozenset({'NanoRacks External Platform', 'Cyclops'})",0
2928,"frozenset({'NanoRacks CubeSat Deployer', 'EXHAM'})",0
2834,"frozenset({'EML', 'EPM'})",0
2826,"frozenset({'MSL', 'KERMIT'})",0
2969,"frozenset({'ELF', 'HSRC'})",0
2975,"frozenset({'EDR', 'EDR-2'})",0
2995,"frozenset({'IPU2', 'Saibo'})",0
2996,"frozenset({'CB', 'IPU2'})",0
2997,"frozenset({'CBEF-L', 'IPU2'})",0
2968,"frozenset({'FROST', 'HSRC'})",0
2967,"frozenset({'CB', 'HSRC'})",0
2873,"frozenset({'SABL', 'TangoLab-1'})",0
2947,"frozenset({'PFMI', 'MSG'})",0
2836,"frozenset({'CIR', 'Cold Atom Lab'})",0
3034,"frozenset({'Hermes', 'MSL'})",0
3040,"frozenset({'MSPR-2', 'ELF'})",0
3004,"frozenset({'KOBAIRO Rack', 'GHF'})",0
