,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1748,"frozenset({'MSG', 'FIR'})",frozenset({'MELFI'}),0.00022612497173437853,0.10688173663978293,0.00022612497173437853,1.0,9.356135401974612,0.00020195634205778633,inf,0.8933202653799758
1430,"frozenset({'CGBA', 'SLAMMD'})",frozenset({'EXPRESS Rack'}),0.00022612497173437853,0.04168236978970378,0.00022612497173437853,1.0,23.990958408679926,0.00021669954704385986,inf,0.9585343787696019
2603,"frozenset({'HRF-2', 'EPM'})","frozenset({'Holter', 'PFS'})",0.00045224994346875706,0.0018089997738750282,0.00045224994346875706,1.0,552.7916666666666,0.0004514318234232871,inf,0.9986426363019381
2657,"frozenset({'EPM', 'RC', 'PFS'})",frozenset({'Holter'}),0.00022612497173437853,0.020652747418406572,0.00022612497173437853,1.0,48.41970802919708,0.00022145486980815408,inf,0.9795687575392038
2250,"frozenset({'COLBERT', 'Holter Monitor 2', 'EPM'})",frozenset({'Actiwatch'}),0.00022612497173437853,0.048164618979422626,0.00022612497173437853,1.0,20.76212832550861,0.00021523374862905946,inf,0.9520506634499396
1772,"frozenset({'SCOF', 'IPU'})",frozenset({'FPEF'}),0.0009798748775156404,0.008215873973015753,0.0009798748775156404,1.0,121.71559633027523,0.0009718243490126476,inf,0.9927569035762787
1292,"frozenset({'CGBA', 'Portable Pulmonary Function System'})",frozenset({'CEVIS'}),0.00015074998115625234,0.11215798598025176,0.00015074998115625234,1.0,8.915994623655914,0.00013384216688320618,inf,0.8879758763663778
2826,"frozenset({'SCOF', 'PCRF'})","frozenset({'IPU', 'Ryutai'})",0.0003768749528906309,0.0012059998492500187,0.0003768749528906309,1.0,829.1875000000001,0.0003764204417542587,inf,0.9991705625094254
2249,"frozenset({'COLBERT', 'Actiwatch', 'EPM'})",frozenset({'Holter Monitor 2'}),0.00022612497173437853,0.013567498304062712,0.00022612497173437853,1.0,73.70555555555556,0.00022305702156386612,inf,0.9866556091676718
2311,"frozenset({'Holter Monitor 2', 'Ultrasound 2'})","frozenset({'Actiwatch Spectrum', 'Ultrasound'})",0.0018843747644531545,0.0018843747644531545,0.0018843747644531545,1.0,530.68,0.0018808238962002466,inf,1.0
2042,"frozenset({'SLAMMD', 'RC'})",frozenset({'MELFI'}),0.00022612497173437853,0.10688173663978293,0.00022612497173437853,1.0,9.356135401974612,0.00020195634205778633,inf,0.8933202653799758
2825,"frozenset({'IPU', 'Ryutai', 'PCRF'})",frozenset({'SCOF'}),0.0003768749528906309,0.003391874576015678,0.0003768749528906309,1.0,294.82222222222225,0.00037559664031958404,inf,0.9969838636706378
2520,"frozenset({'CIR', 'MELFI'})","frozenset({'MSG', 'FIR'})",0.00015074998115625234,0.00022612497173437853,0.00015074998115625234,1.0,4422.333333333333,0.00015071589282102444,inf,0.9999246136449303
2928,"frozenset({'HRF-1', 'Holter Monitor 2'})","frozenset({'Actiwatch Spectrum', 'Ultrasound 2', 'Ultrasound'})",0.00015074998115625234,0.0018843747644531545,0.00015074998115625234,1.0,530.68,0.00015046591169601972,inf,0.9982661138333963
1762,"frozenset({'FPEF', 'PCRF'})",frozenset({'IPU'}),0.0003768749528906309,0.008441998944750131,0.0003768749528906309,1.0,118.45535714285715,0.00037369337493602545,inf,0.9919318353189565
2823,"frozenset({'SCOF', 'Ryutai', 'PCRF'})",frozenset({'IPU'}),0.0003768749528906309,0.008441998944750131,0.0003768749528906309,1.0,118.45535714285715,0.00037369337493602545,inf,0.9919318353189565
1761,"frozenset({'IPU', 'PCRF'})",frozenset({'FPEF'}),0.0003768749528906309,0.008215873973015753,0.0003768749528906309,1.0,121.71559633027523,0.0003737785957740952,inf,0.9921580455436585
2054,"frozenset({'Portable Pulmonary Function System', 'MERLIN'})",frozenset({'PFS'}),0.00015074998115625234,0.01635637295545338,0.00015074998115625234,1.0,61.13824884792627,0.0001482842582414331,inf,0.9837919336600076
2822,"frozenset({'SCOF', 'IPU', 'PCRF'})",frozenset({'Ryutai'}),0.0003768749528906309,0.004371749453531319,0.0003768749528906309,1.0,228.7413793103448,0.00037522735002128166,inf,0.9960036193635953
2710,"frozenset({'IPU', 'FPEF', 'PCRF'})",frozenset({'Ryutai'}),0.0003768749528906309,0.004371749453531319,0.0003768749528906309,1.0,228.7413793103448,0.00037522735002128166,inf,0.9960036193635953
2488,"frozenset({'Ultrasound', 'PFS', 'CEVIS'})",frozenset({'Ultrasound 2'}),0.00015074998115625234,0.007612874048390744,0.00015074998115625234,1.0,131.35643564356437,0.0001496023405369125,inf,0.9925367508480964
2056,"frozenset({'MERLIN', 'PFS'})",frozenset({'Portable Pulmonary Function System'}),0.00015074998115625234,0.011683123539609557,0.00015074998115625234,1.0,85.59354838709677,0.00014898875050281004,inf,0.988465887674331
2489,"frozenset({'Ultrasound 2', 'PFS', 'Ultrasound'})",frozenset({'CEVIS'}),0.00015074998115625234,0.11215798598025176,0.00015074998115625234,1.0,8.915994623655914,0.00013384216688320618,inf,0.8879758763663778
1754,"frozenset({'MWA', 'IPU'})",frozenset({'FPEF'}),0.0006029999246250094,0.008215873973015753,0.0006029999246250094,1.0,121.71559633027523,0.0005980457532385523,inf,0.9923825326193528
2472,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2', 'PFS'})",frozenset({'CEVIS'}),0.00015074998115625234,0.11215798598025176,0.00015074998115625234,1.0,8.915994623655914,0.00013384216688320618,inf,0.8879758763663778
2276,"frozenset({'Actiwatch Spectrum', 'HRF-1', 'Holter Monitor 2'})",frozenset({'Ultrasound 2'}),0.00015074998115625234,0.007612874048390744,0.00015074998115625234,1.0,131.35643564356437,0.0001496023405369125,inf,0.9925367508480964
2062,"frozenset({'MSG', 'MMD'})",frozenset({'Rodent Research'}),0.00015074998115625234,0.02087887239014095,0.00015074998115625234,1.0,47.895306859205775,0.0001476024915368748,inf,0.9792687523558237
