Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PCRF/SCOF,Biology and Biotechnology/Biology and Biotechnology,Biology/Microscope,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2
Double Coldbag/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0
CIR/UMS,Physical Science/Human Research,Furnace/Crew health,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/MAMS,Multipurpose/Multipurpose,General science/Physics,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EXPRESS Rack/SAMS-II,Multipurpose/Multipurpose,General science/Physics,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
CGBA/SLAMMD,Biology and Biotechnology/Human Research,Biology/General science,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/SLAMMD,Multipurpose/Human Research,General science/General science,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/MSG,Biology and Biotechnology/Multipurpose,Plant/Glovebox,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/SLAMMD,Biology and Biotechnology/Human Research,Plant/General science,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/MELFI,Biology and Biotechnology/Multipurpose,Plant/Refrigeration,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FSL/MSG,Physical Science/Multipurpose,Fluids/Glovebox,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/MVIS,Multipurpose/Multipurpose,Glovebox/Vibration isolation,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWA/Ryutai,Multipurpose/Multipurpose,Maintenance/General science,2,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
Ryutai/SCOF,Multipurpose/Biology and Biotechnology,General science/Microscope,2,0,0,0,0,1,8,0,0,0,2,0,8,4,2,2
IPU/Ryutai,Multipurpose/Multipurpose,Image processing/General science,2,0,4,12,0,0,4,0,0,0,2,0,4,4,2,2
Double Coldbag/EXPRESS Rack,Multipurpose/Multipurpose,Refrigeration/General science,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/CGBA,Biology and Biotechnology/Biology and Biotechnology,Plant/Biology,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/Portable Pulmonary Function System,Multipurpose/Human Research,Refrigeration/Crew health,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/RC,Multipurpose/Human Research,Glovebox/Centrifuge,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEA/EXPRESS Rack,Human Research/Multipurpose,Crew health/General science,2,2,8,12,0,0,0,0,0,0,0,0,2,0,0,0
ALTEA/SPHERES,Human Research/Technology Development and Demonstration,Crew health/Robotics,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar/WORF,Earth and Space Science/Earth and Space Science,Astronomy/Earth observation,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/MSG,Multipurpose/Multipurpose,Refrigeration/Glovebox,2,12,2,0,0,0,0,0,14,4,0,0,0,2,0,0
CIR/FIR,Physical Science/Physical Science,Furnace/Fluids,2,8,6,0,0,0,0,0,2,0,0,0,0,0,0,0
FIR/MSG,Physical Science/Multipurpose,Fluids/Glovebox,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/FIR,Multipurpose/Physical Science,General science/Fluids,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holter/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PFS/Ultrasound,Human Research/Human Research,Crew health/Crew health,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
MELFI/MWA,Multipurpose/Multipurpose,Refrigeration/Maintenance,2,8,2,2,0,1,4,0,4,2,0,0,0,0,0,0
JEM-EF/RC,Earth and Space Science/Human Research,External payloads/Centrifuge,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CB/Solar,Multipurpose/Earth and Space Science,Glovebox/Astronomy,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RC/Ultrasound,Human Research/Human Research,Centrifuge/Crew health,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holter/IPU,Human Research/Multipurpose,Crew health/Image processing,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/MELFI,Physical Science/Multipurpose,Furnace/Refrigeration,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/EXPRESS Rack,Multipurpose/Multipurpose,Glovebox/General science,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CGBA/MELFI,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,2,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0
ELC/MELFI,Earth and Space Science/Multipurpose,External payloads/Refrigeration,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELC/MDS,Earth and Space Science/Biology and Biotechnology,External payloads/Biology,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/MDS,Multipurpose/Biology and Biotechnology,Glovebox/Biology,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
IPU/MWA,Multipurpose/Multipurpose,Image processing/Maintenance,2,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0
EPM/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0
MELFI/MSRR-1,Multipurpose/Physical Science,Refrigeration/Materials,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELC/MERLIN,Earth and Space Science/Biology and Biotechnology,External payloads/Refrigeration,2,2,4,0,12,0,0,0,0,0,0,0,0,0,0,0
MELFI/PGB,Multipurpose/Multipurpose,Refrigeration/Glovebox,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/PCBA,Human Research/Human Research,Crew health/Crew health,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
FIR/MSRR-1,Physical Science/Physical Science,Fluids/Materials,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portable Pulmonary Function System/RC,Human Research/Human Research,Crew health/Centrifuge,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELC/GLACIER,Earth and Space Science/Multipurpose,External payloads/Refrigeration,2,2,0,4,7,0,0,0,0,0,0,0,0,0,0,0
GLACIER/MDS,Multipurpose/Biology and Biotechnology,Refrigeration/Biology,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/MERLIN,Multipurpose/Biology and Biotechnology,Glovebox/Refrigeration,2,2,2,0,0,6,0,0,2,0,2,4,2,0,0,2
EDR/EPM,Multipurpose/Human Research,General science/Crew health,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Holter/SLAMMD,Human Research/Human Research,Crew health/General science,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMCS/MELFI,Biology and Biotechnology/Multipurpose,Plant/Refrigeration,0,10,2,2,7,7,0,4,2,6,0,0,0,0,0,0
