Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Holter/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.002419355,0,0.001702128,0,0,0,0,0,0,0,0,0,0,0,0,0
MDS/Saibo,Biology and Biotechnology/Multipurpose,Biology/Biology,0.002419355,0,0.002553191,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/UMS,Multipurpose/Human Research,General science/Crew health,0.002419355,0.000856164,0.003404255,0,0,0,0.002016129,0,0,0,0,0,0,0,0,0
EPM/RC,Human Research/Human Research,Crew health/Centrifuge,0.002419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/SAMS-II,Multipurpose/Multipurpose,Glovebox/Physics,0.002419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0.002419355,0,0.000851064,0,0,0,0,0,0,0,0,0,0,0,0,0
RAM/RC,Human Research/Human Research,Crew health/Centrifuge,0.002419355,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPEF/SCOF,Physical Science/Biology and Biotechnology,Fluids/Microscope,0.002419355,0.004280822,0,0,0,0,0.004032258,0,0,0,0.001805054,0,0.004552352,0.00308642,0.001540832,0.003278689
IPU/SCOF,Multipurpose/Biology and Biotechnology,Image processing/Microscope,0.002419355,0.003424658,0,0,0,0,0.002016129,0,0,0,0.001805054,0,0.003034901,0.00308642,0.001540832,0.003278689
RC/SLAMMD,Human Research/Human Research,Centrifuge/General science,0.001612903,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Coldbag/GLACIER,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.001612903,0.000856164,0,0.000723066,0,0,0,0,0.001610306,0,0,0,0,0,0,0
EPM/ETC,Human Research/Multipurpose,Crew health/Stowage,0.001612903,0.001712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Plant/General science,0.001612903,0,0,0.000723066,0,0.00209205,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/Portable Pulmonary Function System,Multipurpose/Human Research,General science/Crew health,0.001612903,0,0.001702128,0,0,0,0,0,0,0,0,0,0,0,0,0
