Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FIR/LMM,Physical Science/Multipurpose,Fluids/Microscope,0.0024193548387096775,0.008561643835616438,0.02723404255319149,0.0028922631959508315,0.008645533141210375,0.016736401673640166,0.006048387096774193,0.0035211267605633804,0.03542673107890499,0.016260162601626018,0.02527075812274368,0.02178649237472767,0.018209408194233688,0.0,0.0,0.0
Double Coldbag/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.0024193548387096775,0.004280821917808219,0.0,0.0014461315979754157,0.0,0.0,0.0,0.0017605633802816902,0.00322061191626409,0.0,0.0,0.002178649237472767,0.0,0.0,0.0015408320493066256,0.0
Holter/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.0024193548387096775,0.0,0.001702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDS/Saibo,Biology and Biotechnology/Multipurpose,Biology/Biology,0.0024193548387096775,0.0,0.002553191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/UMS,Multipurpose/Human Research,General science/Crew health,0.0024193548387096775,0.0008561643835616438,0.003404255319148936,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/RC,Human Research/Human Research,Crew health/Centrifuge,0.0024193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSG/SAMS-II,Multipurpose/Multipurpose,Glovebox/Physics,0.0024193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0.0024193548387096775,0.0,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAM/RC,Human Research/Human Research,Crew health/Centrifuge,0.0024193548387096775,0.0017123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/SCOF,Physical Science/Biology and Biotechnology,Fluids/Microscope,0.0024193548387096775,0.004280821917808219,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0018050541516245488,0.0,0.004552352048558422,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
IPU/SCOF,Multipurpose/Biology and Biotechnology,Image processing/Microscope,0.0024193548387096775,0.003424657534246575,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0018050541516245488,0.0,0.0030349013657056147,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
RC/SLAMMD,Human Research/Human Research,Centrifuge/General science,0.0016129032258064516,0.0008561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Double Coldbag/GLACIER,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.0016129032258064516,0.0008561643835616438,0.0,0.0007230657989877079,0.0,0.0,0.0,0.0,0.001610305958132045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/ETC,Human Research/Multipurpose,Crew health/Stowage,0.0016129032258064516,0.0017123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Plant/General science,0.0016129032258064516,0.0,0.0,0.0007230657989877079,0.0,0.0020920502092050207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/Portable Pulmonary Function System,Multipurpose/Human Research,General science/Crew health,0.0016129032258064516,0.0,0.001702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/Ryutai,Physical Science/Multipurpose,Fluids/General science,0.0016129032258064516,0.0,0.002553191489361702,0.0,0.008645533141210375,0.0,0.006048387096774193,0.00528169014084507,0.0,0.0,0.0018050541516245488,0.002178649237472767,0.004552352048558422,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
DECLIC/MDS,Physical Science/Biology and Biotechnology,Fluids/Biology,0.0016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/HRF-2,Human Research/Multipurpose,Crew health/Crew health,0.0016129032258064516,0.0017123287671232876,0.000851063829787234,0.0007230657989877079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/RC,Biology and Biotechnology/Human Research,Plant/Centrifuge,0.0016129032258064516,0.0025684931506849314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/MWA,Biology and Biotechnology/Multipurpose,Plant/Maintenance,0.0016129032258064516,0.0008561643835616438,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.001610305958132045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/WORF,Multipurpose/Earth and Space Science,General science/Earth observation,0.0016129032258064516,0.0025684931506849314,0.002553191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/SAMS-II,Physical Science/Multipurpose,Furnace/Physics,0.0016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTEA/ELC,Human Research/Earth and Space Science,Crew health/External payloads,0.0016129032258064516,0.0,0.0,0.0007230657989877079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIR/MELFI,Physical Science/Multipurpose,Fluids/Refrigeration,0.0016129032258064516,0.0017123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.008051529790660225,0.0016260162601626016,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0
CBEF/IPU,Biology and Biotechnology/Multipurpose,Centrifuge/Image processing,0.0016129032258064516,0.0008561643835616438,0.0,0.0,0.0,0.0,0.006048387096774193,0.007042253521126761,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0
CIR/ELC,Physical Science/Earth and Space Science,Furnace/External payloads,0.0016129032258064516,0.0,0.000851063829787234,0.0007230657989877079,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/PFS,Multipurpose/Human Research,General science/Crew health,0.0016129032258064516,0.0,0.002553191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RC/Solar,Human Research/Earth and Space Science,Centrifuge/Astronomy,0.0016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765432098,0.0015408320493066256,0.0
CBPD/Holter,Human Research/Human Research,Crew health/Crew health,0.0016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCRF/Ryutai,Biology and Biotechnology/Multipurpose,Biology/General science,0.0008064516129032258,0.0,0.000851063829787234,0.0007230657989877079,0.0,0.0041841004184100415,0.0020161290322580645,0.0017605633802816902,0.0,0.0016260162601626016,0.0,0.0,0.0030349013657056147,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
IPU/PCRF,Multipurpose/Biology and Biotechnology,Image processing/Biology,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030349013657056147,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
FPEF/PCRF,Physical Science/Biology and Biotechnology,Fluids/Biology,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030349013657056147,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
PCRF/SCOF,Biology and Biotechnology/Biology and Biotechnology,Biology/Microscope,0.0008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030349013657056147,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
